,0,1,cluster_2,cluster_4,cluster_6,cluster_8,cluster_10,cluster_12,cluster_14,cluster_16,cluster_18,cluster_20
0,1.0,1.0,1,0,1,1,6,11,10,1,3,3
1,2.0,1.0,1,3,2,1,3,4,1,14,2,17
2,3.0,1.0,0,1,3,0,8,8,4,5,1,2
3,4.0,1.0,1,0,1,6,0,6,3,7,0,7
4,5.0,1.0,0,1,5,0,5,5,0,5,8,6
5,6.0,1.0,0,2,0,2,9,3,13,9,12,19
6,7.0,1.0,1,0,4,3,7,1,7,13,13,9
7,8.0,1.0,1,0,1,1,3,4,1,14,2,17
8,9.0,1.0,0,1,5,4,4,5,11,3,10,1
9,10.0,1.0,0,1,5,4,5,5,0,2,1,6
10,11.0,1.0,0,2,5,4,4,5,11,3,10,1
11,12.0,1.0,0,1,5,4,4,5,11,3,10,1
12,13.0,1.0,1,0,1,6,0,6,3,7,0,7
13,14.0,1.0,0,1,5,4,5,5,0,2,8,18
14,15.0,1.0,1,0,1,6,0,6,3,7,15,7
15,16.0,1.0,0,2,0,2,9,10,2,8,4,8
16,17.0,1.0,1,0,1,6,0,6,3,7,0,7
17,18.0,1.0,1,0,1,1,3,4,1,14,13,17
18,19.0,1.0,1,0,1,6,0,1,3,7,15,11
19,20.0,1.0,0,3,3,3,8,7,4,15,7,15
20,21.0,1.0,1,3,2,1,3,4,1,14,2,17
21,22.0,1.0,0,2,0,2,9,3,13,3,12,19
22,23.0,1.0,1,0,3,3,3,1,7,4,13,11
23,24.0,1.0,0,1,2,0,5,8,8,10,14,2
24,25.0,1.0,0,1,5,4,5,5,0,2,8,18
25,26.0,1.0,1,0,4,1,7,1,9,11,16,11
26,27.0,1.0,1,0,1,6,0,1,3,7,13,7
27,28.0,1.0,0,3,4,7,2,0,6,12,9,4
28,29.0,1.0,0,3,3,3,8,7,4,15,11,15
29,30.0,1.0,0,1,5,4,4,5,11,2,7,16
30,31.0,1.0,0,3,2,5,1,2,5,12,9,12
31,32.0,1.0,0,2,0,2,9,3,2,9,12,19
32,32799.0,1.0,0,1,5,0,5,8,0,5,14,2
33,34.0,1.0,1,0,3,3,3,1,7,4,13,11
34,131098.0,1.0,1,0,1,6,0,6,3,7,0,7
35,36.0,1.0,0,2,2,7,2,2,6,12,9,4
36,131104.0,1.0,1,0,1,6,0,6,3,7,0,7
37,38.0,1.0,1,0,1,6,0,6,3,7,0,7
38,39.0,1.0,1,0,3,3,3,4,7,14,17,0
39,40.0,1.0,0,3,3,3,8,7,4,13,11,15
40,41.0,1.0,0,1,2,5,1,2,5,0,5,12
41,42.0,1.0,0,2,0,2,9,3,2,3,12,19
42,43.0,1.0,0,2,0,7,2,0,12,6,6,5
43,44.0,1.0,0,2,0,2,9,10,2,3,4,1
