,0,1,cluster_2,cluster_4,cluster_6,cluster_8,cluster_10,cluster_12,cluster_14,cluster_16,cluster_18,cluster_20
0,1.0,1.0,0,0,1,0,6,6,1,5,7,3
1,2.0,1.0,1,2,0,1,3,6,4,5,1,7
2,3.0,1.0,1,2,3,6,7,2,11,11,9,11
3,4.0,1.0,0,1,4,5,6,4,1,3,16,6
4,5.0,1.0,0,1,4,5,1,4,5,3,16,6
5,6.0,1.0,1,2,0,4,7,2,11,10,6,10
6,7.0,1.0,1,0,4,4,1,8,12,11,9,10
7,8.0,1.0,1,0,4,4,1,8,12,10,16,10
8,9.0,1.0,1,2,0,4,7,2,11,10,6,10
9,10.0,1.0,1,2,0,1,3,2,4,10,0,7
10,11.0,1.0,1,2,0,4,7,2,11,10,6,7
11,12.0,1.0,0,3,1,5,6,4,5,3,7,6
12,13.0,1.0,1,0,3,6,7,6,11,5,9,2
13,14.0,1.0,1,2,3,4,1,8,12,10,6,10
14,15.0,1.0,1,2,0,6,7,2,11,11,6,11
15,16.0,1.0,0,1,4,5,6,4,5,3,16,6
16,17.0,1.0,1,2,3,4,7,10,2,10,6,10
17,18.0,1.0,1,2,3,6,7,7,11,11,6,11
18,19.0,1.0,1,0,3,1,4,6,4,11,1,7
19,20.0,1.0,1,2,0,6,7,2,11,11,6,11
20,21.0,1.0,0,1,1,0,6,9,5,5,7,19
21,22.0,1.0,1,2,3,4,4,8,11,11,9,7
22,23.0,1.0,0,1,4,5,6,4,5,3,16,6
23,24.0,1.0,0,1,4,5,1,4,5,3,8,3
24,25.0,1.0,1,2,0,4,7,2,11,10,6,7
25,26.0,1.0,0,1,4,5,1,4,12,3,16,6
26,27.0,1.0,0,0,4,5,1,10,2,1,2,18
27,28.0,1.0,0,0,4,5,1,4,5,3,16,3
28,29.0,1.0,0,1,1,0,1,9,0,5,16,3
29,30.0,1.0,1,2,0,4,1,8,12,10,6,10
30,31.0,1.0,1,2,0,4,7,2,11,10,6,10
31,32.0,1.0,1,2,0,4,7,8,11,10,6,10
32,32799.0,1.0,1,2,0,4,7,8,11,10,6,10
33,34.0,1.0,0,0,4,0,1,6,12,5,9,3
34,131098.0,1.0,1,0,3,0,4,6,4,5,9,7
35,36.0,1.0,1,2,0,4,7,8,12,10,6,10
36,131104.0,1.0,1,2,3,6,7,10,2,1,2,18
37,38.0,1.0,1,2,0,4,7,2,4,10,6,7
38,39.0,1.0,1,2,3,6,7,7,11,2,9,11
39,40.0,1.0,1,2,0,4,4,2,12,10,6,7
40,41.0,1.0,1,2,0,4,7,2,11,10,6,10
41,42.0,1.0,0,0,4,5,1,4,5,5,16,3
42,43.0,1.0,0,1,4,5,1,4,12,3,16,3
43,44.0,1.0,1,0,3,6,1,8,11,11,9,2
44,45.0,1.0,1,2,0,4,7,2,11,10,6,10
45,46.0,1.0,1,2,0,4,7,2,11,10,6,10
46,47.0,1.0,1,2,4,4,1,8,12,10,6,10
47,48.0,1.0,0,1,1,0,6,9,1,5,8,3
48,49.0,1.0,1,2,3,6,7,8,11,11,6,11
49,50.0,1.0,1,2,3,6,7,8,11,11,9,10
50,65585.0,1.0,1,2,3,4,7,2,11,10,6,10
51,52.0,1.0,0,0,4,5,1,10,2,1,2,18
52,54.0,1.0,0,1,1,0,6,9,0,5,7,3
53,55.0,1.0,1,2,0,4,7,8,11,10,6,10
54,65588.0,1.0,0,0,4,5,1,8,5,5,16,3
55,57.0,1.0,1,0,3,6,1,8,11,11,9,10
56,58.0,1.0,0,1,4,5,6,10,2,1,2,18
57,98361.0,1.0,1,0,4,6,1,8,12,11,9,2
58,60.0,1.0,0,3,1,5,6,4,5,3,16,6
59,61.0,1.0,1,2,0,4,7,8,11,10,6,10
60,62.0,1.0,1,0,3,6,1,6,12,11,9,3
61,63.0,1.0,1,0,3,6,4,6,11,11,9,11
62,64.0,1.0,1,2,0,4,7,2,11,10,6,10
63,65.0,1.0,1,2,0,4,0,2,11,11,6,10
64,66.0,1.0,0,0,1,0,1,9,0,5,8,3
65,65596.0,1.0,1,2,0,4,7,2,11,10,6,10
66,68.0,1.0,1,2,3,6,7,8,11,11,6,10
67,69.0,1.0,1,2,3,6,7,7,11,11,9,10
68,70.0,1.0,1,2,0,4,7,2,11,10,6,7
69,71.0,1.0,1,2,0,4,7,2,11,11,6,10
70,72.0,1.0,1,0,3,6,1,6,12,11,9,3
71,74.0,1.0,1,2,3,6,7,2,11,11,6,10
72,75.0,1.0,1,2,0,4,7,2,11,10,6,10
73,76.0,1.0,1,0,3,6,7,8,11,11,6,11
74,78.0,1.0,1,2,3,4,7,8,11,10,6,10
