,0,1,cluster_2,cluster_4,cluster_6,cluster_8,cluster_10,cluster_12,cluster_14,cluster_16,cluster_18,cluster_20
0,1.0,1.0,0,1,4,4,1,6,1,2,5,6
1,1.0,2.0,0,1,4,4,1,6,1,2,5,6
2,1.0,3.0,0,1,4,4,1,6,1,2,5,6
3,1.0,4.0,0,1,4,4,5,0,10,14,7,1
4,1.0,5.0,0,1,4,4,5,0,10,14,7,1
5,1.0,6.0,0,1,4,4,1,6,1,2,5,6
6,1.0,7.0,0,1,4,4,5,0,10,14,7,1
7,1.0,8.0,0,1,4,4,1,6,1,2,5,6
8,1.0,9.0,0,1,4,4,1,6,1,2,5,6
9,1.0,10.0,0,1,4,4,5,0,10,14,7,1
10,1.0,11.0,0,0,0,3,2,7,12,4,4,19
11,1.0,12.0,0,1,4,4,1,6,1,2,5,6
12,1.0,13.0,0,1,4,4,1,6,1,2,5,6
13,1.0,14.0,0,1,4,4,1,6,1,2,5,6
14,1.0,15.0,0,1,4,4,1,6,1,2,5,6
15,1.0,16.0,0,1,4,4,1,6,1,2,5,6
16,1.0,17.0,0,1,4,4,1,6,1,2,5,6
17,1.0,18.0,0,1,4,4,5,0,10,14,7,1
18,1.0,19.0,0,1,4,4,1,6,1,2,5,6
19,1.0,20.0,0,1,4,4,1,6,1,2,5,6
20,1.0,21.0,0,0,1,2,2,7,12,4,4,19
21,1.0,22.0,0,1,4,4,1,6,1,2,5,6
22,1.0,23.0,0,1,4,4,1,6,1,2,5,6
23,1.0,24.0,0,1,4,4,1,6,1,2,5,6
24,1.0,25.0,0,1,4,4,1,6,1,2,5,6
25,1.0,26.0,0,1,4,4,1,6,1,2,5,6
26,1.0,27.0,0,1,4,4,1,6,1,2,5,6
27,1.0,28.0,0,1,4,4,1,6,1,2,5,6
28,1.0,29.0,0,0,1,2,2,7,12,4,4,19
29,1.0,30.0,0,1,4,4,1,6,1,2,5,6
30,1.0,31.0,0,1,4,4,1,6,1,2,5,6
31,1.0,32.0,0,1,4,4,1,6,1,2,5,6
