,0,1,cluster_2,cluster_4,cluster_6,cluster_8,cluster_10,cluster_12,cluster_14,cluster_16,cluster_18,cluster_20
0,1.0,1.0,0,0,1,3,0,7,10,5,1,14
1,1.0,2.0,0,0,1,6,0,7,10,5,1,14
2,1.0,3.0,0,0,1,1,8,3,10,6,1,16
3,2.0,1.0,0,0,1,6,0,1,10,6,1,1
4,2.0,2.0,0,0,1,1,0,3,8,6,1,16
5,2.0,3.0,1,1,1,3,8,3,10,6,1,16
6,3.0,1.0,1,1,3,6,0,1,11,4,1,16
7,3.0,2.0,0,2,1,1,0,1,8,6,1,16
8,3.0,3.0,1,1,3,6,0,1,11,4,1,16
9,4.0,1.0,0,2,1,1,3,3,1,12,1,16
10,4.0,2.0,1,1,3,6,0,1,12,2,1,2
11,4.0,3.0,0,2,1,1,3,3,1,12,1,16
12,5.0,1.0,1,2,3,1,8,3,8,2,1,6
13,5.0,2.0,1,2,3,1,8,3,8,2,1,6
14,5.0,3.0,0,2,3,1,8,3,8,2,1,6
15,6.0,1.0,1,1,5,1,8,3,12,2,1,6
16,6.0,2.0,1,1,5,3,8,3,12,2,1,6
17,6.0,3.0,0,0,1,1,5,3,1,6,1,16
18,7.0,1.0,0,1,3,1,8,3,12,2,1,16
19,7.0,2.0,0,1,3,1,8,3,10,2,1,16
20,7.0,3.0,0,1,3,1,8,3,8,2,1,16
21,8.0,1.0,0,1,3,1,8,3,12,2,1,6
22,8.0,2.0,0,1,3,1,8,3,12,2,1,6
23,9.0,1.0,1,1,5,1,8,3,12,2,1,6
24,9.0,2.0,1,1,5,1,8,3,12,2,1,6
25,9.0,3.0,1,1,5,1,8,3,12,2,1,6
26,10.0,1.0,1,1,3,0,8,1,12,2,1,16
27,10.0,2.0,0,2,1,1,5,3,1,9,1,16
28,10.0,3.0,1,1,3,3,8,3,12,2,1,16
29,11.0,1.0,1,1,3,6,8,3,10,2,5,1
30,11.0,2.0,1,1,3,6,8,3,10,2,5,1
31,11.0,3.0,1,1,3,6,0,1,10,2,1,16
32,12.0,1.0,0,2,1,1,5,3,1,6,1,6
33,12.0,2.0,1,1,3,6,0,1,12,6,1,2
34,12.0,3.0,0,2,1,1,5,3,1,6,1,2
35,13.0,1.0,0,1,1,3,8,9,6,7,12,18
36,13.0,2.0,0,1,1,3,8,9,6,7,12,18
37,13.0,3.0,0,1,1,3,8,9,6,7,12,18
38,14.0,1.0,1,1,3,1,8,3,12,2,1,6
39,14.0,2.0,1,1,3,1,8,3,12,2,1,6
40,14.0,3.0,1,1,3,1,8,3,12,2,1,6
41,15.0,1.0,1,1,3,3,0,1,12,6,1,16
42,15.0,2.0,1,1,3,3,0,1,12,6,1,16
43,15.0,3.0,1,1,1,3,5,1,1,6,1,16
44,16.0,1.0,1,1,5,1,8,3,8,2,1,6
