,0,1,cluster_2,cluster_4,cluster_6,cluster_8,cluster_10,cluster_12,cluster_14,cluster_16,cluster_18,cluster_20
0,1.0,1.0,1,1,3,0,3,1,10,2,14,3
1,1.0,2.0,1,1,3,0,3,1,10,2,14,3
2,1.0,3.0,1,1,3,0,3,1,10,2,14,3
3,1.0,4.0,1,1,3,0,1,0,6,14,12,12
4,1.0,5.0,1,1,3,0,1,0,6,14,12,12
5,1.0,6.0,1,1,3,0,3,1,10,2,14,3
6,1.0,7.0,1,1,3,0,1,0,6,14,12,12
7,1.0,8.0,1,1,3,0,3,1,10,2,14,3
8,1.0,9.0,1,1,3,0,3,1,10,2,14,3
9,1.0,10.0,1,1,3,0,1,0,6,14,12,12
10,1.0,11.0,1,3,0,4,9,11,8,9,1,18
11,1.0,12.0,1,1,3,0,3,1,10,2,14,3
12,1.0,13.0,1,1,3,0,3,1,10,2,14,3
13,1.0,14.0,1,1,3,0,3,1,10,2,14,3
14,1.0,15.0,1,1,3,0,3,1,10,2,14,3
15,1.0,16.0,1,1,3,0,3,1,10,2,14,3
16,1.0,17.0,1,1,3,0,3,1,10,2,14,3
17,1.0,18.0,1,1,3,0,1,0,6,14,12,12
18,1.0,19.0,1,1,3,0,3,1,10,2,14,3
19,1.0,20.0,1,1,3,0,3,1,10,2,14,3
20,1.0,21.0,1,3,0,1,9,11,8,9,2,18
21,1.0,22.0,1,1,3,0,3,1,10,2,14,3
22,1.0,23.0,1,1,3,0,3,1,10,2,14,3
23,1.0,24.0,1,1,3,0,3,1,10,2,14,0
24,1.0,25.0,1,1,3,0,3,1,10,2,14,3
25,1.0,26.0,1,1,3,0,3,1,10,2,14,3
26,1.0,27.0,1,1,3,0,3,1,10,2,14,3
27,1.0,28.0,1,1,3,0,3,1,10,2,14,3
28,1.0,29.0,1,3,1,1,9,11,8,9,2,18
29,1.0,30.0,1,1,3,0,3,1,10,2,14,3
30,1.0,31.0,1,1,3,0,3,1,10,2,14,3
31,1.0,32.0,1,1,3,0,3,1,10,2,14,3
32,2.0,1.0,0,2,5,3,7,6,13,8,16,15
33,2.0,2.0,1,3,0,4,4,3,8,9,1,14
34,2.0,3.0,1,1,3,0,3,1,10,2,17,3
35,2.0,4.0,0,0,4,2,6,7,13,11,9,9
36,2.0,5.0,1,3,0,4,4,11,8,9,1,18
37,2.0,6.0,1,1,3,0,3,7,0,1,6,0
38,2.0,7.0,1,1,3,0,3,1,12,7,17,16
39,2.0,8.0,1,1,3,0,3,1,12,7,17,16
40,2.0,9.0,1,1,3,0,3,1,12,7,17,16
41,2.0,10.0,1,1,3,0,3,1,12,7,17,16
42,2.0,11.0,0,2,2,7,7,5,3,6,8,15
43,2.0,12.0,1,3,4,2,6,7,0,11,5,4
44,2.0,13.0,1,1,0,4,4,3,12,7,17,16
45,2.0,14.0,1,1,3,0,3,1,10,7,17,16
46,2.0,15.0,1,3,0,4,4,3,12,7,17,16
47,2.0,16.0,1,3,0,4,4,11,8,9,1,14
48,2.0,17.0,1,1,3,4,4,3,12,7,17,16
49,3.0,1.0,1,1,3,0,3,1,12,7,17,16
50,3.0,2.0,1,1,3,0,3,1,12,7,17,16
51,3.0,3.0,1,1,3,2,6,7,0,1,6,0
52,3.0,4.0,1,1,3,2,6,7,0,1,6,0
53,3.0,5.0,1,1,3,0,3,1,10,2,14,3
54,3.0,6.0,1,1,3,0,3,1,10,2,14,3
55,4.0,1.0,1,1,3,0,3,1,10,2,14,3
56,4.0,2.0,1,1,3,4,1,0,12,7,17,16
57,4.0,3.0,1,1,3,0,3,1,10,2,14,3
58,4.0,4.0,1,1,3,0,3,1,10,2,14,3
59,5.0,1.0,1,1,3,0,1,0,6,14,12,12
60,5.0,2.0,1,1,3,0,1,0,6,14,12,12
