,0,1,cluster_2,cluster_4,cluster_6,cluster_8,cluster_10,cluster_12,cluster_14,cluster_16,cluster_18,cluster_20
0,1.0,1.0,0,3,5,6,4,5,11,6,0,1
1,1.0,2.0,0,0,5,0,4,5,11,6,0,1
2,1.0,3.0,0,3,5,6,4,5,11,6,0,1
3,2.0,1.0,1,0,3,3,2,8,9,0,7,6
4,2.0,2.0,0,3,5,6,1,5,11,6,0,1
5,2.0,3.0,1,2,2,0,0,3,2,14,12,14
6,3.0,1.0,1,0,2,0,6,10,3,2,4,16
7,3.0,2.0,0,3,5,2,1,4,0,7,3,11
8,3.0,3.0,1,0,2,0,6,10,3,2,4,16
9,4.0,1.0,0,3,5,2,9,0,0,7,3,11
10,4.0,2.0,1,0,2,5,6,10,3,2,6,16
11,4.0,3.0,0,3,5,2,9,0,0,7,3,11
12,5.0,1.0,0,3,1,5,9,0,1,3,3,15
13,5.0,2.0,0,3,1,5,9,0,1,3,3,15
14,5.0,3.0,0,3,1,6,9,0,1,3,11,15
15,6.0,1.0,1,2,2,5,7,2,5,1,17,4
16,6.0,2.0,1,2,2,5,7,2,5,1,17,4
17,6.0,3.0,0,3,1,2,1,9,0,7,13,3
18,7.0,1.0,1,2,1,4,3,7,12,4,1,5
19,7.0,2.0,1,2,1,4,3,7,12,4,1,5
20,7.0,3.0,0,3,1,4,3,9,12,4,13,3
21,8.0,1.0,1,2,1,4,3,9,12,4,11,5
22,8.0,2.0,1,2,1,4,3,9,12,4,11,3
23,9.0,1.0,1,2,2,5,7,2,5,1,17,4
24,9.0,2.0,0,3,1,5,9,0,1,3,14,4
25,9.0,3.0,1,2,1,5,7,2,5,1,17,4
26,10.0,1.0,1,0,3,3,2,8,4,0,7,6
27,10.0,2.0,0,3,5,2,9,4,0,7,3,11
28,10.0,3.0,1,2,2,0,0,3,2,14,12,14
29,11.0,1.0,1,0,3,5,7,10,4,1,6,16
30,11.0,2.0,1,0,2,5,7,2,4,1,6,16
31,11.0,3.0,1,0,2,0,6,10,3,2,4,16
32,12.0,1.0,0,3,5,2,9,0,0,7,3,11
33,12.0,2.0,1,0,2,0,0,10,13,2,10,16
34,12.0,3.0,0,3,5,2,9,4,0,7,3,11
35,13.0,1.0,1,0,2,0,4,3,2,14,12,14
36,13.0,2.0,1,0,2,0,4,3,2,14,12,14
37,13.0,3.0,1,0,2,0,0,3,2,14,12,14
38,14.0,1.0,1,2,2,4,7,7,5,1,17,4
39,14.0,2.0,1,2,2,4,7,7,5,1,17,4
40,14.0,3.0,1,2,1,4,3,7,5,4,1,5
41,15.0,1.0,1,0,2,0,0,3,2,14,12,14
42,15.0,2.0,1,0,2,0,0,3,2,14,12,14
43,15.0,3.0,1,0,5,2,1,4,0,7,5,11
44,16.0,1.0,0,3,5,6,9,0,1,3,14,15
45,16.0,2.0,0,3,1,6,9,0,1,3,14,15
46,16.0,3.0,0,1,4,1,5,6,8,10,15,2
47,17.0,1.0,1,1,4,1,5,6,5,1,17,2
48,17.0,2.0,1,1,4,1,5,6,13,5,10,19
49,17.0,3.0,0,3,1,6,9,0,1,3,11,15
50,18.0,1.0,1,0,2,0,6,10,3,2,4,16
51,18.0,2.0,1,0,2,0,6,10,3,2,4,16
52,18.0,3.0,1,0,3,5,6,10,4,2,6,16
53,19.0,1.0,1,0,3,3,2,8,9,0,7,6
54,19.0,2.0,1,0,3,3,2,8,9,0,7,6
55,19.0,3.0,1,0,3,3,2,8,9,0,7,6
56,20.0,1.0,1,0,2,0,0,10,3,2,4,16
57,20.0,2.0,1,0,3,3,2,8,4,0,7,6
58,20.0,3.0,0,3,5,2,9,0,13,5,14,19
59,21.0,1.0,0,3,5,2,6,4,0,7,5,11
60,21.0,2.0,1,0,2,0,0,2,13,5,10,16
61,21.0,3.0,0,3,5,2,6,4,0,7,5,11
62,22.0,1.0,1,2,3,3,4,7,4,0,1,5
63,22.0,2.0,1,1,4,1,5,6,13,5,10,19
64,22.0,3.0,1,2,4,4,4,7,13,5,10,19
65,23.0,1.0,0,3,1,6,9,0,1,3,14,15
66,23.0,2.0,1,2,2,5,7,2,5,1,17,4
67,23.0,3.0,1,1,4,5,7,2,13,5,10,19
68,24.0,1.0,0,3,1,6,1,9,11,6,13,3
69,24.0,2.0,1,2,2,4,3,7,12,4,1,5
70,24.0,3.0,0,3,5,6,1,9,1,6,13,3
71,25.0,1.0,1,0,2,0,0,3,4,1,6,16
72,25.0,2.0,1,2,2,0,4,7,2,14,12,5
73,25.0,3.0,1,2,2,4,4,7,2,14,1,5
74,26.0,1.0,0,3,1,6,9,0,1,3,14,15
75,26.0,2.0,1,2,2,5,7,2,5,1,17,4
76,26.0,3.0,0,3,1,6,9,9,1,3,13,15
77,27.0,1.0,0,1,1,1,5,6,8,10,15,2
78,27.0,2.0,1,0,2,5,6,10,3,2,4,16
79,27.0,3.0,0,3,1,6,3,9,12,4,13,3
80,28.0,1.0,0,3,1,4,3,9,12,4,13,3
81,28.0,2.0,0,3,5,0,4,5,11,6,0,1
82,28.0,3.0,1,2,1,4,3,7,12,4,1,5
83,29.0,1.0,0,3,1,6,1,9,11,6,13,3
84,29.0,2.0,0,2,1,4,3,9,12,4,13,3
85,29.0,3.0,0,3,1,6,1,9,11,6,13,3
86,30.0,1.0,1,2,2,5,7,2,5,1,17,4
87,30.0,2.0,1,1,2,5,7,2,13,5,10,19
88,30.0,3.0,0,3,5,6,9,0,1,3,14,3
89,31.0,1.0,1,0,2,5,7,2,4,1,6,16
90,31.0,2.0,1,0,2,5,7,2,13,5,10,16
91,31.0,3.0,1,0,2,4,6,10,3,2,4,16
92,32.0,1.0,1,2,2,5,7,2,5,1,17,4
93,32.0,2.0,1,2,2,4,4,7,2,4,1,5
94,32.0,3.0,0,3,1,6,9,0,1,3,14,15
95,32799.0,1.0,1,2,2,5,7,2,5,1,17,4
96,34.0,1.0,0,2,1,4,4,9,12,6,13,3
97,34.0,2.0,1,0,3,4,4,9,9,4,13,3
98,34.0,3.0,0,3,5,6,1,5,11,6,0,1
99,131098.0,1.0,1,0,3,3,4,3,9,0,7,14
100,131098.0,2.0,0,1,4,1,5,6,13,5,10,19
101,131098.0,3.0,1,0,2,0,4,3,2,14,12,14
102,36.0,1.0,1,2,2,5,7,2,5,1,17,4
103,36.0,2.0,0,3,1,6,9,0,1,3,14,15
104,36.0,3.0,0,3,1,6,9,0,1,3,11,15
