,0,1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
0,1.0,1.0,0,1,1,2,3,1
1,1.0,2.0,0,1,1,2,3,1
2,1.0,4.0,0,1,1,2,3,1
3,1.0,9.0,0,1,1,2,3,1
4,1.0,11.0,0,1,1,2,3,1
5,1.0,14.0,0,1,1,2,3,1
6,1.0,15.0,0,1,1,2,3,1
7,1.0,16.0,0,1,1,2,3,1
8,1.0,22.0,0,1,1,2,3,1
9,1.0,23.0,0,1,1,2,1,1
10,1.0,27.0,0,1,1,2,3,1
11,1.0,30.0,0,1,1,2,3,1
12,3.0,1.0,1,2,2,1,5,4
13,3.0,2.0,0,1,1,2,1,3
14,3.0,3.0,1,2,2,1,5,4
15,3.0,4.0,1,2,2,1,5,4
16,3.0,5.0,0,1,1,2,1,3
17,3.0,6.0,1,2,2,1,5,4
18,4.0,1.0,0,1,1,2,3,6
19,4.0,2.0,0,1,1,2,3,6
20,4.0,3.0,0,1,1,2,3,6
21,4.0,4.0,0,1,1,2,3,6
22,5.0,1.0,1,2,2,3,2,2
23,5.0,2.0,1,2,2,3,2,2
24,5.0,3.0,1,2,2,1,5,3
25,5.0,4.0,0,1,1,1,1,3
26,5.0,5.0,1,2,2,1,5,4
27,5.0,6.0,1,2,2,1,5,3
28,5.0,7.0,0,1,1,1,1,3
29,7.0,1.0,0,0,3,0,0,0
30,7.0,2.0,0,0,3,0,0,0
31,7.0,4.0,0,0,3,0,0,0
32,7.0,5.0,0,0,3,0,0,0
33,7.0,6.0,0,0,3,0,0,0
34,7.0,7.0,0,0,3,0,0,0
35,7.0,8.0,0,0,3,0,0,0
36,7.0,9.0,0,1,3,0,3,6
37,19.0,1.0,0,1,1,2,3,6
38,19.0,2.0,0,1,1,2,1,1
39,19.0,3.0,0,1,1,2,1,3
40,19.0,4.0,0,1,1,2,3,1
41,19.0,5.0,0,1,1,2,1,1
42,19.0,6.0,0,1,1,2,1,3
43,22.0,1.0,1,2,0,4,4,5
44,22.0,2.0,1,2,0,4,4,5
45,22.0,3.0,1,2,0,4,4,5
46,23.0,1.0,0,1,1,2,1,3
47,23.0,2.0,1,2,0,3,2,2
48,23.0,3.0,1,2,0,3,2,2
49,23.0,4.0,1,2,0,3,2,2
50,23.0,5.0,1,2,0,3,2,2
