,0,1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
0,1.0,1.0,0,0,0,0,1,1
1,1.0,2.0,0,0,0,0,1,1
2,1.0,4.0,0,0,0,0,1,1
3,1.0,9.0,0,0,0,0,1,1
4,1.0,11.0,0,0,0,0,1,1
5,1.0,14.0,0,0,0,0,1,1
6,1.0,15.0,0,0,0,0,1,1
7,1.0,16.0,0,0,0,0,1,1
8,1.0,22.0,0,0,0,0,1,1
9,1.0,23.0,0,0,0,0,1,1
10,1.0,27.0,0,0,0,0,1,1
11,1.0,30.0,0,0,0,0,1,1
12,3.0,1.0,0,0,0,0,1,1
13,3.0,2.0,0,0,0,0,1,1
14,3.0,3.0,0,0,0,0,1,1
15,3.0,4.0,0,0,0,0,1,1
16,3.0,5.0,0,0,0,0,1,1
17,3.0,6.0,0,0,0,0,1,1
18,4.0,1.0,0,0,0,0,1,1
19,4.0,2.0,0,0,0,0,1,1
20,4.0,3.0,0,0,0,0,1,1
21,4.0,4.0,0,0,0,0,1,1
22,5.0,1.0,0,2,2,4,0,0
23,5.0,2.0,0,2,2,4,0,0
24,5.0,3.0,0,0,0,0,1,1
25,5.0,4.0,0,0,0,0,1,1
26,5.0,5.0,0,0,0,0,1,1
27,5.0,6.0,0,0,0,0,1,1
28,5.0,7.0,0,0,0,0,1,1
29,7.0,1.0,1,1,1,1,4,3
30,7.0,2.0,1,1,1,3,2,2
31,7.0,4.0,1,1,1,3,2,2
32,7.0,5.0,1,1,1,3,2,4
33,7.0,6.0,1,1,1,3,2,2
34,7.0,7.0,1,1,1,3,2,4
35,7.0,8.0,1,1,1,3,2,2
36,7.0,9.0,1,1,1,1,4,3
37,19.0,1.0,0,0,0,0,1,1
38,19.0,2.0,0,0,0,0,1,1
39,19.0,3.0,0,0,0,0,1,1
40,19.0,4.0,0,0,0,0,1,1
41,19.0,5.0,0,0,0,0,1,1
42,19.0,6.0,0,0,0,0,1,1
43,22.0,1.0,0,2,3,2,5,5
44,22.0,2.0,0,2,3,2,5,5
45,22.0,3.0,0,2,3,2,5,5
46,23.0,1.0,0,0,0,0,1,1
47,23.0,2.0,0,2,2,4,3,6
48,23.0,3.0,0,2,2,4,3,6
49,23.0,4.0,0,2,2,4,3,6
50,23.0,5.0,0,2,2,4,3,6
